[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.660118547] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.017
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.684246004] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.687264707] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.016
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.712723018] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.715334268] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.017
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.751800199] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.754932359] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.016
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.778366826] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.782947671] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.017
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.810904943] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.813670191] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.016
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.833681129] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.839174002] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.016
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.858035499] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.861218699] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.016
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.882396577] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.885098826] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.016
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.909206741] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.911757327] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.945824045] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.949951939] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.982124020] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:57] [target_detect] [INFO] [1754005437.985685797] [target_detection_node]: Fallback threshold, Otsu ratio: 0.017, Mean ratio: 0.016
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.010472702] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.013048078] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.042656741] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.045461072] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.073554842] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.077861233] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.108046512] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.112157781] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.141157162] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.144347070] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.015
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.172801917] [target_detection_node]: Expected circle: center=(320, 240), radius=157px
[2025-08-01 07:43:58] [target_detect] [INFO] [1754005438.177228182] [target_detection_node]: Fallback threshold, Otsu ratio: 0.016, Mean ratio: 0.016
